index,Name,# Features,# Categorical Features,# Instances,# Classes,# NaNs,Minority Class Size,id,roc,pred_time,cross_entropy,accuracy
94,doa_bwin_balanced,14,3,708,2,0,354,45712,0.7213282247765005,0.319638729095459,0.6419963531898556,0.6666666666666666
95,PieChart1,38,1,705,2,0,61,1451,0.8742017879948916,0.07056355476379395,0.2151198251990652,0.9235127478753541
96,breast-w,10,1,699,2,16,241,15,0.9952362048431919,0.3030109405517578,0.09611326341997482,0.9685714285714285
97,credit-approval,16,10,690,2,67,307,29,0.9421415068863084,0.1791524887084961,0.30186369686751907,0.8782608695652174
98,credit-approval_reproduced,16,10,690,2,67,307,44155,0.9421415068863084,0.17601823806762695,0.30186369686751907,0.8782608695652174
99,Australian,15,9,690,2,0,307,40981,0.9087524538008529,0.07793140411376953,0.4329406869711196,0.863768115942029
100,Australian_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,15,9,690,2,0,307,44483,0.9087524538008529,0.07814550399780273,0.4329406869711196,0.863768115942029
101,disclosure_x_bias,4,1,662,2,0,317,774,0.5645267309377738,0.07771086692810059,0.6909124579314379,0.525679758308157
102,disclosure_x_tampered,4,1,662,2,0,327,795,0.5260371019573474,0.08284378051757812,0.6940757695281614,0.513595166163142
103,disclosure_x_noise,4,1,662,2,0,329,827,0.5473876507124589,0.11997795104980469,0.6932172715843984,0.5196374622356495
104,disclosure_z,4,1,662,2,0,314,931,0.5642163307040607,0.1205446720123291,0.6932709307108761,0.5075528700906344
105,PizzaCutter1,38,1,661,2,0,52,1443,0.7892652010299068,0.30901432037353516,0.32919280203785595,0.9003021148036254
106,balance-scale,5,1,625,3,0,49,11,0.9961514647458384,0.05065727233886719,0.110352730050404,0.9680511182108626
107,monks-problems-2,7,7,601,2,0,206,334,1.0,0.06288623809814453,0.0004255012822860987,1.0
108,synthetic_control,61,1,600,6,0,100,377,0.9997276493214269,0.2800445556640625,0.05768170735001149,0.98
109,sensory,12,12,576,2,0,239,826,0.7488494086207751,0.26421165466308594,0.5836475089244131,0.6875
110,wdbc,31,1,569,2,0,212,1510,0.9934142827742334,0.2603931427001953,0.11067157740335141,0.9543859649122807
111,arsenic-female-bladder,5,2,559,2,0,80,949,0.8140898345153664,0.14273786544799805,0.4227341470177115,0.8285714285714286
112,monks-problems-1,7,7,556,2,0,278,333,1.0,0.052911996841430664,0.03269938847312633,1.0
113,monks-problems-3,7,7,554,2,0,266,335,0.9886980108499095,0.0638425350189209,0.0910876046809757,0.9783393501805054
114,climate-model-simulation-crashes,21,1,540,2,0,46,1467,0.8374450181679097,0.0560152530670166,0.2497825856389547,0.9074074074074074
115,doa_bwin,14,3,530,2,0,176,45711,0.5886402753872633,0.06028175354003906,0.6169947574723441,0.6867924528301886
116,CPMP-2015-runtime-classification,23,1,527,4,0,78,41919,0.7282466025186946,0.09173774719238281,1.1231225433787613,0.571969696969697
117,kc2,22,1,522,2,0,107,1063,0.8519163763066202,0.24500823020935059,0.3687457434076573,0.8390804597701149
118,threeOf9,10,10,512,2,0,238,40690,0.9954734524100808,0.05047869682312012,0.11731921154620295,0.96484375
119,rmftsa_ladata,11,1,508,2,0,222,717,0.9522727272727274,0.046448707580566406,0.36792388198025366,0.8818897637795275
121,boston,14,2,506,2,0,209,853,0.961111111111111,0.07150530815124512,0.24271642050119518,0.9130434782608695
122,collins,23,3,500,2,0,80,987,1.0,0.055277347564697266,0.002259069547544641,1.0
123,pm10,8,1,500,2,0,246,750,0.5258333333333333,0.06305527687072754,0.6982403829097747,0.48
124,no2,8,1,500,2,0,249,886,0.6690573770491803,0.04997539520263672,0.6485726021528244,0.636
125,LED-display-domain-7digit,8,1,500,10,0,37,40496,0.936028621809452,0.21228551864624023,1.0357087614852936,0.732
126,irish,6,4,500,2,32,222,451,1.0,0.056272268295288086,0.0019240863195000202,1.0
127,PopularKids,11,5,478,3,0,90,1100,0.6384960586300871,0.21848702430725098,0.9993178208502765,0.5271966527196653
128,analcatdata_apnea2,4,3,475,2,0,64,765,0.9474832476235,0.19399285316467285,0.14948840361644178,0.9243697478991597
129,analcatdata_apnea1,4,3,475,2,0,61,767,0.937743713863117,0.11816096305847168,0.23749176068857564,0.9117647058823529
130,thoracic-surgery,17,14,470,2,0,70,1506,0.6483093404753933,0.0877375602722168,0.36662475206750506,0.8765957446808511
131,analcatdata_vineyard,4,2,468,2,0,208,724,0.9170106132075472,0.0434572696685791,0.4146775468762538,0.8418803418803419
132,chscase_vine2,3,1,468,2,0,212,814,0.9355100235849056,0.06049180030822754,0.30852153350232947,0.8589743589743589
133,sa-heart,10,2,462,2,0,160,1498,0.786178274990978,0.06125020980834961,0.5049892618397485,0.7402597402597403
134,analcatdata_apnea3,4,3,450,2,0,55,764,0.958929165281011,0.06410837173461914,0.16785115563724604,0.9244444444444444
135,wholesale-customers,9,2,440,2,0,142,1511,0.9676045908922621,0.05745506286621094,0.2074823664456331,0.9272727272727272
136,mw1,38,1,403,2,0,31,1071,0.8270060396893874,0.05590200424194336,0.3171717408067076,0.905940594059406
137,user-knowledge,6,1,403,5,0,24,1508,0.982019740708802,0.0446629524230957,0.3221675516524984,0.8960396039603961
138,chscase_census5,8,1,400,2,0,193,906,0.46240000000000003,0.037125349044799805,0.6976010292768479,0.5
139,chscase_census4,8,1,400,2,0,194,907,0.46305764411027567,0.1519606113433838,0.6928571674227715,0.47
